seed,L_min,beta,lambda_alarm,kappa_iid,best_obj,changepoints,objective_gap
7,78,0.1,0.25,0.25,90621.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.25,0.75,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.25,1.5,90624.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.5,0.0,90621.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.5,0.25,90621.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.5,0.75,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,0.5,1.5,90624.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,1.0,0.0,90621.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,1.0,0.25,90621.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,1.0,0.75,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.1,1.0,1.5,90624.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.3,0.0,0.0,90621.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.0,0.25,90622.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.0,0.75,90623.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.0,1.5,90624.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.25,0.0,90621.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.25,0.25,90622.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.25,0.75,90623.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.25,1.5,90624.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.5,0.0,90621.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.5,0.25,90622.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.5,0.75,90623.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,0.5,1.5,90624.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,1.0,0.0,90621.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,1.0,0.25,90622.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,1.0,0.75,90623.32565038226,"[1118, 1872]",6.216766677272972
7,78,0.3,1.0,1.5,90624.82565038226,"[1118, 1872]",6.216766677272972
7,78,0.6,0.0,0.0,90622.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.0,0.25,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.0,0.75,90623.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.0,1.5,90625.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.25,0.0,90622.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.25,0.25,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.25,0.75,90623.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.25,1.5,90625.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.5,0.0,90622.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.5,0.25,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.5,0.75,90623.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,0.5,1.5,90625.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,1.0,0.0,90622.42565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,1.0,0.25,90622.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,1.0,0.75,90623.92565038225,"[1118, 1872]",6.216766677272972
7,78,0.6,1.0,1.5,90625.42565038225,"[1118, 1872]",6.216766677272972
7,78,1.0,0.0,0.0,90623.22565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.0,0.25,90623.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.0,0.75,90624.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.0,1.5,90626.22565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.25,0.0,90623.22565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.25,0.25,90623.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.25,0.75,90624.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.25,1.5,90626.22565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.5,0.0,90623.22565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.5,0.25,90623.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.5,0.75,90624.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,0.5,1.5,90626.22565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,1.0,0.0,90623.22565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,1.0,0.25,90623.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,1.0,0.75,90624.72565038226,"[1118, 1872]",6.216766677272972
7,78,1.0,1.0,1.5,90626.22565038226,"[1118, 1872]",6.216766677272972
7,104,0.1,0.0,0.0,90613.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.0,0.25,90614.1631288781,"[1690, 1950]",12.494310843758285
