seed,L_min,beta,lambda_alarm,best_obj,changepoints,objective_gap
89,52,0.5,2.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,52,1.0,0.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,52,1.0,0.5,90580.22173808317,"[1144, 2236]",1.838002429518383
89,52,1.0,1.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,52,1.0,2.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,52,2.0,0.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,52,2.0,0.5,90582.22173808317,"[1144, 2236]",1.838002429518383
89,52,2.0,1.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,52,2.0,2.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,52,4.0,0.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,52,4.0,0.5,90586.22173808317,"[1144, 2236]",1.838002429518383
89,52,4.0,1.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,52,4.0,2.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,104,0.5,0.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,104,0.5,0.5,90579.22173808317,"[1144, 2236]",1.838002429518383
89,104,0.5,1.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,104,0.5,2.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,104,1.0,0.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,104,1.0,0.5,90580.22173808317,"[1144, 2236]",1.838002429518383
89,104,1.0,1.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,104,1.0,2.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,104,2.0,0.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,104,2.0,0.5,90582.22173808317,"[1144, 2236]",1.838002429518383
89,104,2.0,1.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,104,2.0,2.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,104,4.0,0.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,104,4.0,0.5,90586.22173808317,"[1144, 2236]",1.838002429518383
89,104,4.0,1.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,104,4.0,2.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,156,0.5,0.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,156,0.5,0.5,90579.22173808317,"[1144, 2236]",1.838002429518383
89,156,0.5,1.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,156,0.5,2.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,156,1.0,0.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,156,1.0,0.5,90580.22173808317,"[1144, 2236]",1.838002429518383
89,156,1.0,1.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,156,1.0,2.0,90580.22173808317,"[1144, 2236]",1.838002429518383
89,156,2.0,0.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,156,2.0,0.5,90582.22173808317,"[1144, 2236]",1.838002429518383
89,156,2.0,1.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,156,2.0,2.0,90582.22173808317,"[1144, 2236]",1.838002429518383
89,156,4.0,0.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,156,4.0,0.5,90586.22173808317,"[1144, 2236]",1.838002429518383
89,156,4.0,1.0,90586.22173808317,"[1144, 2236]",1.838002429518383
89,156,4.0,2.0,90586.22173808317,"[1144, 2236]",1.838002429518383
